Data Filename	Date Acquired	Sample Name	Tx	AnSampleName	aBLQlyte	Matrix	Time_hr	Conc. (nM)_RAW	TxSamp	Conc. (nM)			
201-107_PL10_T0_ds1_CC-004-766_031.lcd	8/14/2018	T0_ds1	NPP663	T0_ds1	Prodrug	media	0	1068.8	NPP663_T0_ds1_Prodrug	1068.8			
201-107_PL10_T0_ds2_CC-004-766_032.lcd	8/14/2018	T0_ds2	NPP663	T0_ds2	Prodrug	media	0	1241.7	NPP663_T0_ds2_Prodrug	1241.7			
201-107_PL10_T0_ds3_CC-004-766_033.lcd	8/14/2018	T0_ds3	NPP663	T0_ds3	Prodrug	media	0	1148.8	NPP663_T0_ds3_Prodrug	1148.8			
201-107_PL10_T72_ds1_CC-004-766_035.lcd	8/14/2018	T72_ds1	NPP663	T72_ds1	Prodrug	media	72	1252.1	NPP663_T72_ds1_Prodrug	1252.1			
201-107_PL10_T72_ds2_CC-004-766_036.lcd	8/14/2018	T72_ds2	NPP663	T72_ds2	Prodrug	media	72	1100.2	NPP663_T72_ds2_Prodrug	1100.2			
201-107_PL10_T72_ds3_CC-004-766_037.lcd	8/14/2018	T72_ds3	NPP663	T72_ds3	Prodrug	media	72	1159.9	NPP663_T72_ds3_Prodrug	1159.9			
201-107_PL10_T72_med1_CC-004-766_039.lcd	8/14/2018	T72_med1	NPP663	T72_med1	Prodrug	media	72	582.5	NPP663_T72_med1_Prodrug	582.5			
201-107_PL10_T72_med2_CC-004-766_040.lcd	8/14/2018	T72_med2	NPP663	T72_med2	Prodrug	media	72	611.3	NPP663_T72_med2_Prodrug	611.3			
201-107_PL10_T72_med3_CC-004-766_041.lcd	8/14/2018	T72_med3	NPP663	T72_med3	Prodrug	media	72	559.5	NPP663_T72_med3_Prodrug	559.5			
201-107_PL11_T72_lys1_CC-004-769_031.lcd	8/15/2018	T72_lys1	NPP663	T72_lys1	Prodrug	lysate	72	268.5	NPP663_T72_lys1_Prodrug	268.5			
201-107_PL11_T72_lys2_CC-004-769_032.lcd	8/15/2018	T72_lys2	NPP663	T72_lys2	Prodrug	lysate	72	284.2	NPP663_T72_lys2_Prodrug	284.2			
201-107_PL11_T72_lys3_CC-004-769_033.lcd	8/15/2018	T72_lys3	NPP663	T72_lys3	Prodrug	lysate	72	342.4	NPP663_T72_lys3_Prodrug	342.4			
201-107_PL14_CDV_663_T0_ds1_CC-004-778_031.lcd	8/23/2018	663_T0_ds1	NPP663	T0_ds1	CDV	media	0	-----	NPP663_T0_ds1_CDV	0			
201-107_PL14_CDV_663_T0_ds2_CC-004-778_032.lcd	8/23/2018	663_T0_ds2	NPP663	T0_ds2	CDV	media	0	-----	NPP663_T0_ds2_CDV	0			
201-107_PL14_CDV_663_T0_ds3_CC-004-778_033.lcd	8/23/2018	663_T0_ds3	NPP663	T0_ds3	CDV	media	0	-----	NPP663_T0_ds3_CDV	0			
201-107_PL14_CDV_663_T72_ds1_CC-004-778_035.lcd	8/23/2018	663_T72_ds1	NPP663	T72_ds1	CDV	media	72	-----	NPP663_T72_ds1_CDV	0			=questionable accuracy
201-107_PL14_CDV_663_T72_ds2_CC-004-778_036.lcd	8/23/2018	663_T72_ds2	NPP663	T72_ds2	CDV	media	72	87.2	NPP663_T72_ds2_CDV	0			
201-107_PL14_CDV_663_T72_ds3_CC-004-778_037.lcd	8/23/2018	663_T72_ds3	NPP663	T72_ds3	CDV	media	72	-----	NPP663_T72_ds3_CDV	0			
201-107_PL14_CDV_663_T72_med1_CC-004-778_039.lcd	8/23/2018	663_T72_med1	NPP663	T72_med1	CDV	media	72	135.6	NPP663_T72_med1_CDV	0			
