"","diff","lwr","upr","p adj"
"NPP666-NPP669",-195.961866666667,-251.112577368853,-140.811155964481,6.11995985999592e-07
"NPP663-NPP669",-287.925975903615,-343.0766866058,-232.775265201429,8.24362433871073e-09
"CDV-NPP669",-324.574025806452,-379.724736508638,-269.423315104266,2.23576623881172e-09
"CMX001-NPP669",-255.462095238095,-310.612805940281,-200.311384535909,3.01890549225803e-08
"USC505-NPP669",-255.731609302326,-310.882320004512,-200.58089860014,2.98349034366652e-08
"NPP663-NPP666",-91.9641092369478,-147.114819939134,-36.8133985347619,0.00125110484998159
"CDV-NPP666",-128.612159139785,-183.762869841971,-73.461448437599,5.34789354363907e-05
"CMX001-NPP666",-59.5002285714286,-114.650939273614,-4.3495178692426,0.0320160921076658
"USC505-NPP666",-59.7697426356589,-114.920453337845,-4.61903193347295,0.0311407664353267
"CDV-NPP663",-36.6480499028372,-91.7987606050231,18.5026607993488,0.291749518516352
"CMX001-NPP663",32.4638806655193,-22.6868300366667,87.6145913677052,0.406781824239703
"USC505-NPP663",32.1943666012889,-22.956344100897,87.3450773034749,0.415020444921549
"CMX001-CDV",69.1119305683564,13.9612198661705,124.262641270542,0.0119223043884467
"USC505-CDV",68.8424165041261,13.6917058019401,123.993127206312,0.0122554628841021
"USC505-CMX001",-0.26951406423035,-55.4202247664163,54.8811966379556,0.999999999778758
