"","diff","lwr","upr","p adj"
"NPP666-NPP669",-84.7524099290781,-101.548803696995,-67.9560161611609,1.1845320058157e-08
"NPP663-NPP669",-222.411192258395,-239.207586026312,-205.614798490478,3.5349501104065e-13
"CDV-NPP669",-287.818276595745,-304.614670363662,-271.021882827828,3.574918139293e-14
"CMX001-NPP669",-226.433514690983,-243.2299084589,-209.637120923066,2.95763413760142e-13
"USC505-NPP669",-206.88843473528,-223.684828503197,-190.092040967363,6.92779167366098e-13
"NPP663-NPP666",-137.658782329317,-154.455176097234,-120.8623885614,1.85584880796341e-11
"CDV-NPP666",-203.065866666667,-219.862260434584,-186.26947289875,8.13127343235465e-13
"CMX001-NPP666",-141.681104761905,-158.477498529822,-124.884710993988,1.25055521493778e-11
"USC505-NPP666",-122.136024806202,-138.932418574119,-105.339631038284,1.24351640096165e-10
"CDV-NPP663",-65.4070843373493,-82.2034781052665,-48.6106905694322,2.18648213423656e-07
"CMX001-NPP663",-4.02232243258749,-20.8187162005046,12.7740713353296,0.96124120024295
"USC505-NPP663",15.5227575231157,-1.2736362448014,32.3191512910329,0.0763444232995294
"CMX001-CDV",61.3847619047618,44.5883681368447,78.181155672679,4.47199717035218e-07
"USC505-CDV",80.9298418604651,64.1334480925479,97.7262356283822,1.95115915646582e-08
"USC505-CMX001",19.5450799557032,2.7486861877861,36.3414737236204,0.0197853035674366
