"","diff","lwr","upr","p adj"
"NPP666-NPP669",-181.667165957447,-253.783337671691,-109.550994243203,6.55634802535499e-05
"NPP663-NPP669",-266.200308126122,-338.316479840365,-194.084136411878,2.02214775568699e-06
"CMX001-NPP669",22.046376899696,-50.0697948145477,94.1625486139397,0.846944359299329
"USC505-NPP669",-200.831789213261,-272.947960927504,-128.715617499017,2.69915355848305e-05
"NPP663-NPP666",-84.5331421686746,-156.649313882918,-12.4169704544309,0.0207850305330121
"CMX001-NPP666",203.713542857143,131.597371142899,275.829714571387,2.37558718625408e-05
"USC505-NPP666",-19.1646232558139,-91.2807949700576,52.9515484584298,0.899889129127988
"CMX001-NPP663",288.246685025817,216.130513311574,360.362856740061,9.53526601676913e-07
"USC505-NPP663",65.3685189128607,-6.747652801383,137.484690627104,0.0804850489674725
"USC505-CMX001",-222.878166112957,-294.994337827201,-150.761994398713,1.05220086767943e-05
